clip,view,event,shoulder_turn_base,shoulder_turn_opt,hip_turn_base,hip_turn_opt,spine_tilt_base,spine_tilt_opt,d_shoulder_turn,d_hip_turn,d_spine_tilt
830,face-on,top,135.76839097262587,135.76839097262587,-179.7371208453851,-179.7371208453851,6.299992643913763,6.466552954117423,0.0,0.0,0.16656031020366058
830,face-on,impact,-177.60453882582033,-177.60453882582033,-155.99203251621458,-155.99203251621458,36.47114999744667,54.594964368735745,0.0,0.0,18.123814371289072
269,down-the-line,top,161.0704852742767,161.0704852742767,-127.8588272974683,-127.8588272974683,32.17226338064332,36.99194502154282,0.0,0.0,4.819681640899496
269,down-the-line,impact,-49.043627185105784,-49.043627185105784,-60.479562750009045,-60.479562750009045,28.973475059578206,32.546689827074175,0.0,0.0,3.573214767495969
8,face-on,top,154.11869607455938,154.11869607455938,-167.21602940818747,-167.21602940818747,3.310329804134522,4.195157239373256,0.0,0.0,0.8848274352387344
8,face-on,impact,179.454178313626,179.454178313626,-155.13323049993147,-155.13323049993147,20.540083829179977,23.558968396552686,0.0,0.0,3.0188845673727087
10,face-on,top,145.87813563825432,145.87813563825432,-176.3470744971441,-176.3470744971441,5.882421181179584,8.079611555555285,0.0,0.0,2.197190374375701
10,face-on,impact,-170.5539305111328,-170.5539305111328,-154.2629702585676,-154.2629702585676,30.066432242217342,28.90833848312419,0.0,0.0,1.158093759093152
0,down-the-line,top,-32.004467317831306,-32.004467317831306,-68.74018943546612,-68.74018943546612,24.48282061040389,35.93888077051909,0.0,0.0,11.4560601601152
0,down-the-line,impact,-45.673726060545555,-45.673726060545555,-53.91976217344532,-53.91976217344532,23.61714858270811,23.602805260794348,0.0,0.0,0.014343321913763418
2,down-the-line,top,-142.10277047991354,-142.10277047991354,-109.70945559499343,-109.70945559499343,28.087804953726913,29.91495544538125,0.0,0.0,1.8271504916543364
2,down-the-line,impact,-65.27809155280059,-65.27809155280059,-73.31511571559061,-73.31511571559061,25.16235164479621,25.424163537611165,0.0,0.0,0.2618118928149542
